X,Y,OBJECT_ID,KODE_DESA,DESA,KODE,PROVINSI,KAB_KOTA,KECAMATAN,DESA_KELUR,JUMLAH_PEN,Nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,POSITIF,Meninggal,Month,Year,Month_Year,PROX_ATTRACTION,PROX_KINDERGARTENS,PROX_SCHOOL,PROX_TERMINAL,PROX_HEALTHCARE
-3627128.97677243,692083.510311368,25477,3173031006,KEAGUNGAN,317303,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,21609,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,1199,13,Aug,2021,Aug_2021,0.538239655567848,0.170838685005828,0.669980973060006,20.7412309761014,20.7412309761014
-3627326.75158001,692881.097037157,25478,3173031007,GLODOK,317303,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,9069,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,798,18,Aug,2021,Aug_2021,0.402897507808186,0.187559851699684,1.13149687107061,20.5005165203292,20.5005165203292
-3621508.54617087,689924.954624286,25397,3171031003,HARAPAN MULIA,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,29085,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,1939,40,Aug,2021,Aug_2021,1.4805683476399,0.0842851336577298,2.01824402524578,26.5616761912617,26.5616761912617
-3620624.2519965,690303.155736008,25400,3171031006,CEMPAKA BARU,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,41913,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,3002,65,Aug,2021,Aug_2021,1.79198301023142,0.279429336375651,2.53246643608646,27.3896288344177,27.3896288344177
-3624360.52626085,690316.267361694,25390,3171021001,PASAR BARU,317102,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,15793,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,1568,23,Aug,2021,Aug_2021,0.21115232708022,0.265757377380061,0.333586144261694,23.6829857307947,23.6829857307947
-3625164.36177694,691811.902461816,25391,3171021002,KARANG ANYAR,317102,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,33383,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,1898,36,Aug,2021,Aug_2021,0.657262444025197,0.463305655736961,1.08542655872613,22.7208077691187,22.7208077691187
-3625381.12250126,693399.807302115,25394,3171021005,MANGGA DUA SELATAN,317102,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,35906,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,1911,35,Aug,2021,Aug_2021,0.667929678635513,0.74562777556393,0.96662052676376,22.4344055943197,22.4344055943197
-3626870.14933294,690234.073520433,25386,3171011003,PETOJO UTARA,317101,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,21828,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,1429,23,Aug,2021,Aug_2021,1.4848353628183,0.169154558979071,0.377241710885739,21.2133644666301,21.2133644666301
-3623604.00594103,689027.027917683,25403,3171041001,SENEN,317104,DKI JAKARTA,JAKARTA PUSAT,SENEN,SENEN,8643,DKI JAKARTA,JAKARTA PUSAT,SENEN,SENEN,968,16,Aug,2021,Aug_2021,1.14307602507675,0.567485174434777,0.603688914550155,24.6388860939889,24.6388860939889
-3622556.55494593,689713.104506081,25408,3171041006,BUNGUR,317104,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,23001,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,1430,26,Aug,2021,Aug_2021,1.54791613383538,0.836082489690026,0.982369607020413,25.555534611538,25.555534611538
-3619380.27971028,689350.556963218,25409,3171051001,CEMPAKA PUTIH TIMUR,317105,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,29735,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,3066,54,Aug,2021,Aug_2021,3.35570053891948,1.2806907334426,1.13574624371547,28.7502648767547,28.7502648767547
-3619999.92862503,687407.743529129,25411,3171051003,RAWASARI,317105,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,27113,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,3238,37,Aug,2021,Aug_2021,3.35752446566322,0.499356214238705,1.17898481740038,28.4958408980969,28.4958408980969
-3624107.80894266,685749.889324811,25412,3171061001,MENTENG,317106,DKI JAKARTA,JAKARTA PUSAT,MENTENG,MENTENG,31780,DKI JAKARTA,JAKARTA PUSAT,MENTENG,MENTENG,2075,33,Aug,2021,Aug_2021,0.825398741824555,0.593713634489953,1.06331795882125,24.9730254687439,24.9730254687439
-3623458.15643402,687022.26517255,25414,3171061003,CIKINI,317106,DKI JAKARTA,JAKARTA PUSAT,MENTENG,CIKINI,10410,DKI JAKARTA,JAKARTA PUSAT,MENTENG,CIKINI,703,13,Aug,2021,Aug_2021,0.770227152894583,0.591060537200482,0.366323943639734,25.2292773261785,25.2292773261785
-3627805.24248617,686021.136061544,25420,3171071004,PETAMBURAN,317107,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,43497,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,2388,50,Aug,2021,Aug_2021,1.40289039188547,0.508083770501387,0.549190532741855,21.396931749557,21.396931749557
-3626484.59961128,686082.963573559,25421,3171071005,KEBON MELATI,317107,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,41344,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,1946,39,Aug,2021,Aug_2021,0.476554847557766,0.399298729345691,0.735187515025509,22.6161409245471,22.6161409245471
-3621453.79698963,688731.941155962,25425,3171081002,KAMPUNG RAWA,317108,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,27348,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,1467,29,Aug,2021,Aug_2021,2.62438676929168,0.741341704975087,1.52258481433482,26.8067223559857,26.8067223559857
-3614564.60065251,696477.844290155,25441,3172031002,TUGU UTARA,317203,DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU UTARA,86287,DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU UTARA,4353,93,Aug,2021,Aug_2021,3.19970305387428,0.172420487169094,0.794166630048126,33.3742546696657,33.3742546696657
-3637793.48908033,696690.390396001,25429,3172011002,KAMAL MUARA,317201,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,15051,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,932,9,Aug,2021,Aug_2021,5.46761589218639,0.479015729379605,0.404011701891875,10.4865617985796,10.4865617985796
-3631077.3412653,696794.471525907,25432,3172011005,PLUIT,317201,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PLUIT,55885,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PLUIT,4105,46,Aug,2021,Aug_2021,3.31468982256876,0.384726900962679,1.57897922088071,17.0392324857756,17.0392324857756
-3614846.94765461,697817.448307228,25442,3172031003,LAGOA,317203,DKI JAKARTA,JAKARTA UTARA,KOJA,LAGOA,74851,DKI JAKARTA,JAKARTA UTARA,KOJA,LAGOA,3631,82,Aug,2021,Aug_2021,2.20486493725947,0.719229901559195,1.27534126193914,33.2362287585812,33.2362287585812
-3619873.2032023,695492.73252877,25435,3172021003,PAPANGGO,317202,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,49062,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,2232,36,Aug,2021,Aug_2021,2.38745678226528,0.523573993124245,1.27685359029055,28.0053935310449,28.0053935310449
-3617910.52131475,695403.99304723,25436,3172021004,SUNGAI BAMBU,317202,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,37423,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,2151,25,Aug,2021,Aug_2021,2.66212374731642,0.344270058945139,1.00341299587509,29.958413797108,29.958413797108
-3617627.20158777,696905.563639,25437,3172021005,KEBON BAWANG,317202,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,64447,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,3911,57,Aug,2021,Aug_2021,1.50814743736613,0.256002810248731,0.574059397463444,30.3677665979372,30.3677665979372
-3619071.79389162,696496.13448659,25439,3172021007,WARAKAS,317202,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,56502,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,2953,43,Aug,2021,Aug_2021,1.28932829650611,0.325586932850539,0.468942255909102,28.8882788487862,28.8882788487862
