"ID_KEL","Nama_provinsi","nama_kota","nama_kecamatan","nama_kelurahan","POSITIF","Meninggal","Month","Year","Month_Year"
"BELUM DIKETAHUI","BELUM DIKETAHUI","BELUM DIKETAHUI","BELUM DIKETAHUI","BELUM DIKETAHUI",154,8,"Mar","2020","Mar_2020"
"LUAR DKI JAKARTA","LUAR DKI JAKARTA","LUAR DKI JAKARTA","LUAR DKI JAKARTA","LUAR DKI JAKARTA",106,10,"Mar","2020","Mar_2020"
"3172061002","DKI JAKARTA","JAKARTA UTARA","KELAPA GADING","PEGANGSAAN DUA",4,0,"Mar","2020","Mar_2020"
"3175021002","DKI JAKARTA","JAKARTA TIMUR","PULO GADUNG","PISANGAN TIMUR",3,2,"Mar","2020","Mar_2020"
"3172061003","DKI JAKARTA","JAKARTA UTARA","KELAPA GADING","KELAPA GADING BARAT",6,1,"Mar","2020","Mar_2020"
"3171041003","DKI JAKARTA","JAKARTA PUSAT","SENEN","PASEBAN",2,0,"Mar","2020","Mar_2020"
"3173021003","DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","TOMANG",13,0,"Mar","2020","Mar_2020"
"3172021003","DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","PAPANGGO",0,0,"Mar","2020","Mar_2020"
"3172021006","DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","SUNTER AGUNG",8,1,"Mar","2020","Mar_2020"
"3172011001","DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","PENJARINGAN",0,0,"Mar","2020","Mar_2020"
"3174061002","DKI JAKARTA","JAKARTA SELATAN","CILANDAK","LEBAK BULUS",7,1,"Mar","2020","Mar_2020"
"3171071005","DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","KEBON MELATI",1,0,"Mar","2020","Mar_2020"
"3174101002","DKI JAKARTA","JAKARTA SELATAN","PESANGGRAHAN","BINTARO",5,3,"Mar","2020","Mar_2020"
"3175071004","DKI JAKARTA","JAKARTA TIMUR","DUREN SAWIT","PONDOK KELAPA",6,2,"Mar","2020","Mar_2020"
"3171061001","DKI JAKARTA","JAKARTA PUSAT","MENTENG","MENTENG",3,1,"Mar","2020","Mar_2020"
"3172041007","DKI JAKARTA","JAKARTA UTARA","CILINCING","SEMPER BARAT",0,0,"Mar","2020","Mar_2020"
"3174051002","DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","PONDOK PINANG",10,1,"Mar","2020","Mar_2020"
"3172011005","DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","PLUIT",7,2,"Mar","2020","Mar_2020"
"3173061003","DKI JAKARTA","JAKARTA BARAT","KALI DERES","TEGAL ALUR",3,0,"Mar","2020","Mar_2020"
"3172031002","DKI JAKARTA","JAKARTA UTARA","KOJA","TUGU UTARA",3,1,"Mar","2020","Mar_2020"
"3173011006","DKI JAKARTA","JAKARTA BARAT","CENGKARENG","CENGKARENG TIMUR",3,1,"Mar","2020","Mar_2020"
"3174021002","DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","KARET SEMANGGI",2,1,"Mar","2020","Mar_2020"
"3172011004","DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","PEJAGALAN",1,0,"Mar","2020","Mar_2020"
"3174061001","DKI JAKARTA","JAKARTA SELATAN","CILANDAK","CILANDAK BARAT",10,2,"Mar","2020","Mar_2020"
"3175041004","DKI JAKARTA","JAKARTA TIMUR","KRAMAT JATI","BATU AMPAR",6,0,"Mar","2020","Mar_2020"
"3174041005","DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","PEJATEN TIMUR",3,0,"Mar","2020","Mar_2020"
"3174061005","DKI JAKARTA","JAKARTA SELATAN","CILANDAK","CIPETE SELATAN",2,0,"Mar","2020","Mar_2020"
"3174031003","DKI JAKARTA","JAKARTA SELATAN","MAMPANG PRAPATAN","PELA MAMPANG",2,2,"Mar","2020","Mar_2020"
"3171041002","DKI JAKARTA","JAKARTA PUSAT","SENEN","KENARI",1,0,"Mar","2020","Mar_2020"
"3175071001","DKI JAKARTA","JAKARTA TIMUR","DUREN SAWIT","DUREN SAWIT",10,1,"Mar","2020","Mar_2020"
