"OBJECT_ID","KODE_DESA","DESA","KODE","PROVINSI","KAB_KOTA","KECAMATAN","DESA_KELUR","JUMLAH_PEN","Nama_provinsi","nama_kota","nama_kecamatan","nama_kelurahan","POSITIF","Meninggal","Month","Year","Month_Year","geometry"
25477,"3173031006","KEAGUNGAN",317303,"DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","KEAGUNGAN",21609,"DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","KEAGUNGAN",1211,13,"Oct","2021","Oct_2021",c(-3627128.97677243, 692083.510311368)
25478,"3173031007","GLODOK",317303,"DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","GLODOK",9069,"DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","GLODOK",806,18,"Oct","2021","Oct_2021",c(-3627326.75158001, 692881.097037157)
25397,"3171031003","HARAPAN MULIA",317103,"DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","HARAPAN MULIA",29085,"DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","HARAPAN MULIA",1946,40,"Oct","2021","Oct_2021",c(-3621508.54617087, 689924.954624286)
25400,"3171031006","CEMPAKA BARU",317103,"DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","CEMPAKA BARU",41913,"DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","CEMPAKA BARU",3020,66,"Oct","2021","Oct_2021",c(-3620624.2519965, 690303.155736008)
25390,"3171021001","PASAR BARU",317102,"DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","PASAR BARU",15793,"DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","PASAR BARU",1646,25,"Oct","2021","Oct_2021",c(-3624360.52626085, 690316.267361694)
25391,"3171021002","KARANG ANYAR",317102,"DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","KARANG ANYAR",33383,"DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","KARANG ANYAR",1916,37,"Oct","2021","Oct_2021",c(-3625164.36177694, 691811.902461816)
25394,"3171021005","MANGGA DUA SELATAN",317102,"DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","MANGGA DUA SELATAN",35906,"DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","MANGGA DUA SELATAN",1937,36,"Oct","2021","Oct_2021",c(-3625381.12250126, 693399.807302115)
25386,"3171011003","PETOJO UTARA",317101,"DKI JAKARTA","JAKARTA PUSAT","GAMBIR","PETOJO UTARA",21828,"DKI JAKARTA","JAKARTA PUSAT","GAMBIR","PETOJO UTARA",1434,24,"Oct","2021","Oct_2021",c(-3626870.14933294, 690234.073520433)
25403,"3171041001","SENEN",317104,"DKI JAKARTA","JAKARTA PUSAT","SENEN","SENEN",8643,"DKI JAKARTA","JAKARTA PUSAT","SENEN","SENEN",982,16,"Oct","2021","Oct_2021",c(-3623604.00594103, 689027.027917683)
25408,"3171041006","BUNGUR",317104,"DKI JAKARTA","JAKARTA PUSAT","SENEN","BUNGUR",23001,"DKI JAKARTA","JAKARTA PUSAT","SENEN","BUNGUR",1436,26,"Oct","2021","Oct_2021",c(-3622556.55494593, 689713.104506081)
25409,"3171051001","CEMPAKA PUTIH TIMUR",317105,"DKI JAKARTA","JAKARTA PUSAT","CEMPAKA PUTIH","CEMPAKA PUTIH TIMUR",29735,"DKI JAKARTA","JAKARTA PUSAT","CEMPAKA PUTIH","CEMPAKA PUTIH TIMUR",3093,54,"Oct","2021","Oct_2021",c(-3619380.27971028, 689350.556963218)
25411,"3171051003","RAWASARI",317105,"DKI JAKARTA","JAKARTA PUSAT","CEMPAKA PUTIH","RAWASARI",27113,"DKI JAKARTA","JAKARTA PUSAT","CEMPAKA PUTIH","RAWASARI",3282,38,"Oct","2021","Oct_2021",c(-3619999.92862503, 687407.743529129)
25412,"3171061001","MENTENG",317106,"DKI JAKARTA","JAKARTA PUSAT","MENTENG","MENTENG",31780,"DKI JAKARTA","JAKARTA PUSAT","MENTENG","MENTENG",2085,33,"Oct","2021","Oct_2021",c(-3624107.80894266, 685749.889324811)
25414,"3171061003","CIKINI",317106,"DKI JAKARTA","JAKARTA PUSAT","MENTENG","CIKINI",10410,"DKI JAKARTA","JAKARTA PUSAT","MENTENG","CIKINI",710,14,"Oct","2021","Oct_2021",c(-3623458.15643402, 687022.26517255)
