X,Y,OBJECT_ID,KODE_DESA,DESA,KODE,PROVINSI,KAB_KOTA,KECAMATAN,DESA_KELUR,JUMLAH_PEN,Nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,POSITIF,Meninggal,Month,Year,Month_Year
-3627128.97677243,692083.510311368,25477,"3173031006",KEAGUNGAN,317303,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,21609,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,0,0,Mar,"2020",Mar_2020
-3627128.97677243,692083.510311368,25477,"3173031006",KEAGUNGAN,317303,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,21609,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,3,0,Apr,"2020",Apr_2020
-3627128.97677243,692083.510311368,25477,"3173031006",KEAGUNGAN,317303,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,21609,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,4,0,May,"2020",May_2020
-3627128.97677243,692083.510311368,25477,"3173031006",KEAGUNGAN,317303,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,21609,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,6,0,Jun,"2020",Jun_2020
-3627128.97677243,692083.510311368,25477,"3173031006",KEAGUNGAN,317303,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,21609,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,19,0,Jul,"2020",Jul_2020
-3627128.97677243,692083.510311368,25477,"3173031006",KEAGUNGAN,317303,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,21609,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,60,1,Aug,"2020",Aug_2020
-3627128.97677243,692083.510311368,25477,"3173031006",KEAGUNGAN,317303,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,21609,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,144,1,Sep,"2020",Sep_2020
-3627128.97677243,692083.510311368,25477,"3173031006",KEAGUNGAN,317303,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,21609,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,183,1,Oct,"2020",Oct_2020
-3627128.97677243,692083.510311368,25477,"3173031006",KEAGUNGAN,317303,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,21609,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,221,2,Nov,"2020",Nov_2020
-3627128.97677243,692083.510311368,25477,"3173031006",KEAGUNGAN,317303,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,21609,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,260,2,Dec,"2020",Dec_2020
-3627128.97677243,692083.510311368,25477,"3173031006",KEAGUNGAN,317303,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,21609,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,349,2,Jan,"2021",Jan_2021
